:START_ID(AcquiredPoint),:END_ID(DataPoint),:TYPE
-9137068827542560232,6182831833100046817,DataPoint
-9136435171348510404,2437218390141491670,DataPoint
-9136241463499251826,4486505010488519050,DataPoint
-9136062216140937018,3427839857063425485,DataPoint
-9135705502270656270,3665199512301889811,DataPoint
-9135300779226969009,-6806661735425837259,DataPoint
-9135150365949547937,3427839857063425485,DataPoint
-9134209783447852239,-1812038759933385076,DataPoint
-9134110980873432509,-7652749906143060367,DataPoint
-9133601231980624076,994866972177147178,DataPoint
-9133121592614308383,-1622838103865765189,DataPoint
-9132439418998304669,-2190750915662269960,DataPoint
-9132362809655825196,678685911433745605,DataPoint
-9131114848500648592,-2190750915662269960,DataPoint
-9130789694639097085,8169661977572486596,DataPoint
-9130566347262581350,-6327789033213181426,DataPoint
-9130201970512411830,-8146906127921858665,DataPoint
-9129925745267905972,-5473020888422529961,DataPoint
-9129415419359087646,-4285821900599484157,DataPoint
-9129409902289486047,-2411162311537972639,DataPoint
-9128690653576878013,-2868800207031613863,DataPoint
-9127726007836485931,-6464651650585887677,DataPoint
-9127470620720726182,6459368125514513908,DataPoint
-9126068691408534172,6852134207894979538,DataPoint
-9125289464616028565,4636617981641363666,DataPoint
-9125255223124561262,3928740194012335759,DataPoint
-9125254049742607339,-7079399585073114153,DataPoint
-9124571697088991750,-1386769699701379135,DataPoint
-9123509935995718540,-4019351474211831988,DataPoint
-9123268792172143685,3245967807872503568,DataPoint
-9122926500537040720,4486505010488519050,DataPoint
-9121674330830347900,2950926064836155415,DataPoint
-9118617253538300931,-6323185844481532013,DataPoint
-9117750684865772984,-5136369798597093155,DataPoint
-9117275360094809825,-5883299909471207746,DataPoint
-9117170971130419768,-4051729641874228162,DataPoint
-9116819985169073350,-5902388810790426270,DataPoint
-9116396368207348119,-7796288117367534758,DataPoint
-9116281230946988468,5837200614112843287,DataPoint
-9116246154907133103,2882018361738066861,DataPoint
-9115073632822796204,-7990541904998575968,DataPoint
-9114219136155878281,7980562140376949937,DataPoint
-9113176259431067220,-4330710281473518360,DataPoint
-9112991102740687068,5406732768306638318,DataPoint
-9112205363457696381,-515497596357077284,DataPoint
-9111784276829443877,7382963025244977099,DataPoint
-9111710325846337030,-8017870047410190706,DataPoint
-9111702689224742170,2882018361738066861,DataPoint
-9111533334387625419,4442536933963322942,DataPoint
-9109761921932227272,-4432400248405339147,DataPoint
-9109639213793338821,-5902388810790426270,DataPoint
-9109137395516930065,2854608764606661332,DataPoint
-9109087524166984768,7955532306756094023,DataPoint
-9108484112316664324,-6715933180870781913,DataPoint
-9107326149881183415,7955532306756094023,DataPoint
-9107130383994162659,-5902388810790426270,DataPoint
-9106481835193631198,5148090169943061104,DataPoint
-9105281480020425243,-4019351474211831988,DataPoint
