acquiredPointID:ID(AcquiredPoint),iteration:int,:LABEL
-9126068691408534172,65,AcquiredPoint
-9125289464616028565,102,AcquiredPoint
-9125255223124561262,4,AcquiredPoint
-9125254049742607339,63,AcquiredPoint
-9124571697088991750,62,AcquiredPoint
-9123509935995718540,130,AcquiredPoint
-9123268792172143685,76,AcquiredPoint
-9122926500537040720,24,AcquiredPoint
-9121674330830347900,48,AcquiredPoint
-9118617253538300931,13,AcquiredPoint
-9117750684865772984,28,AcquiredPoint
-9117275360094809825,90,AcquiredPoint
-9117170971130419768,20,AcquiredPoint
-9116819985169073350,130,AcquiredPoint
-9116396368207348119,100,AcquiredPoint
-9116281230946988468,32,AcquiredPoint
-9116246154907133103,127,AcquiredPoint
-9115073632822796204,100,AcquiredPoint
-9114219136155878281,6,AcquiredPoint
-9113176259431067220,131,AcquiredPoint
-9112991102740687068,9,AcquiredPoint
-9112205363457696381,70,AcquiredPoint
-9111784276829443877,57,AcquiredPoint
-9111710325846337030,8,AcquiredPoint
-9111702689224742170,16,AcquiredPoint
-9111533334387625419,129,AcquiredPoint
-9109761921932227272,60,AcquiredPoint
-9109639213793338821,54,AcquiredPoint
-9109137395516930065,17,AcquiredPoint
-9109087524166984768,35,AcquiredPoint
-9108484112316664324,46,AcquiredPoint
-9107326149881183415,72,AcquiredPoint
-9107130383994162659,131,AcquiredPoint
-9106481835193631198,56,AcquiredPoint
-9105281480020425243,58,AcquiredPoint
-9104481422374552799,18,AcquiredPoint
-9103781255005023742,26,AcquiredPoint
-9103358839503883471,32,AcquiredPoint
-9103318729445485314,142,AcquiredPoint
-9101236905196585614,16,AcquiredPoint
-9099827849691398831,38,AcquiredPoint
-9099510334196443471,59,AcquiredPoint
-9098583954320309862,58,AcquiredPoint
-9098403129491335085,98,AcquiredPoint
-9098195490859574084,60,AcquiredPoint
-9097491583868825870,61,AcquiredPoint
-9097308277845291701,1,AcquiredPoint
-9096472734916339089,48,AcquiredPoint
-9094928044530062842,28,AcquiredPoint
-9094792137750291804,109,AcquiredPoint
-9094236173497983814,26,AcquiredPoint
